"1-0",11/16/2019
"Timezone",-5

"Serial No.","CA0000002E9C0521"
"Location:","4-10"
"High temperature limit (°C)",85
"Low temperature limit (°C)",-40
"Date - Time","Temperature (°C)"
"2019-08-03 20:01",16.0
"2019-08-03 22:01",16.0
"2019-08-04 00:01",16.0
"2019-08-04 02:01",16.0
"2019-08-04 04:01",16.0
"2019-08-04 06:01",16.0
"2019-08-04 08:01",16.0
"2019-08-04 10:01",16.0
"2019-08-04 12:01",16.0
"2019-08-04 14:01",16.0
"2019-08-04 16:01",16.0
"2019-08-04 18:01",16.0
"2019-08-04 20:01",16.0
"2019-08-04 22:01",16.0
"2019-08-05 00:01",16.0
"2019-08-05 02:01",16.0
"2019-08-05 04:01",16.0
"2019-08-05 06:01",16.0
"2019-08-05 08:01",16.0
"2019-08-05 10:01",16.0
"2019-08-05 12:01",16.0
"2019-08-05 14:01",16.0
"2019-08-05 16:01",16.0
"2019-08-05 18:01",16.0
"2019-08-05 20:01",16.0
"2019-08-05 22:01",16.0
"2019-08-06 00:01",16.0
"2019-08-06 02:01",16.0
"2019-08-06 04:01",16.0
"2019-08-06 06:01",16.0
"2019-08-06 08:01",16.0
"2019-08-06 10:01",16.0
"2019-08-06 12:01",16.0
"2019-08-06 14:01",16.0
"2019-08-06 16:01",16.0
"2019-08-06 18:01",16.0
"2019-08-06 20:01",16.0
"2019-08-06 22:01",16.0
"2019-08-07 00:01",16.0
"2019-08-07 02:01",16.0
"2019-08-07 04:01",16.0
"2019-08-07 06:01",16.0
"2019-08-07 08:01",16.0
"2019-08-07 10:01",16.0
"2019-08-07 12:01",16.0
"2019-08-07 14:01",16.0
"2019-08-07 16:01",16.0
"2019-08-07 18:01",16.0
"2019-08-07 20:01",16.0
"2019-08-07 22:01",16.0
"2019-08-08 00:01",16.0
"2019-08-08 02:01",16.0
"2019-08-08 04:01",16.0
"2019-08-08 06:01",16.0
"2019-08-08 08:01",16.0
"2019-08-08 10:01",16.0
"2019-08-08 12:01",16.0
"2019-08-08 14:01",16.0
"2019-08-08 16:01",16.0
"2019-08-08 18:01",16.0
"2019-08-08 20:01",16.0
"2019-08-08 22:01",16.0
"2019-08-09 00:01",16.0
"2019-08-09 02:01",16.0
"2019-08-09 04:01",16.0
"2019-08-09 06:01",16.0
"2019-08-09 08:01",16.0
"2019-08-09 10:01",16.0
"2019-08-09 12:01",16.0
"2019-08-09 14:01",16.0
"2019-08-09 16:01",16.0
