1-Wire/iButton Part Number: DS1921G-F5,,
1-Wire/iButton Registration Number: 800000002E7E0B21,,
Is Mission Active?  false,,
Mission Start:  Sat Dec 16 12:01:00 EST 2017,,
Sample Rate:  Every 120 minute(s),,
Number of Mission Samples:  2006,,
Total Samples:  88095,,
Roll Over Enabled?  false,,
Roll Over Occurred?  Roll over has NOT occurred,,
Active Alarms:  None fired,,
Next Clock Alarm At:  Disabled,,
High Temperature Alarm:  85 �C,,
Low Temperature Alarm:  -40 �C,,
,,
Date/Time,Unit,Value
1/7/18 6:01,C,0
1/7/18 8:01,C,-0.5
1/7/18 10:01,C,0
1/7/18 12:01,C,-0.5
1/7/18 14:01,C,-0.5
1/7/18 16:01,C,-0.5
1/7/18 18:01,C,0
1/7/18 20:01,C,-0.5
1/7/18 22:01,C,-0.5
1/8/18 0:01,C,-0.5
1/8/18 2:01,C,-0.5
1/8/18 4:01,C,-0.5
1/8/18 6:01,C,0
1/8/18 8:01,C,-0.5
1/8/18 10:01,C,-0.5
1/8/18 12:01,C,0
1/8/18 14:01,C,0
1/8/18 16:01,C,0
1/8/18 18:01,C,0
1/8/18 20:01,C,-0.5
1/8/18 22:01,C,0
1/9/18 0:01,C,0
1/9/18 2:01,C,0
1/9/18 4:01,C,0
1/9/18 6:01,C,0
1/9/18 8:01,C,0
1/9/18 10:01,C,0
1/9/18 12:01,C,0
1/9/18 14:01,C,0
1/9/18 16:01,C,0
1/9/18 18:01,C,0
1/9/18 20:01,C,0
1/9/18 22:01,C,0
1/10/18 0:01,C,0
1/10/18 2:01,C,0
1/10/18 4:01,C,0
1/10/18 6:01,C,0
1/10/18 8:01,C,0
1/10/18 10:01,C,0
1/10/18 12:01,C,0
1/10/18 14:01,C,0
1/10/18 16:01,C,0
1/10/18 18:01,C,0
1/10/18 20:01,C,0
1/10/18 22:01,C,0
1/11/18 0:01,C,0
1/11/18 2:01,C,0
1/11/18 4:01,C,0
1/11/18 6:01,C,0
1/11/18 8:01,C,0
1/11/18 10:01,C,0
1/11/18 12:01,C,0
1/11/18 14:01,C,0
1/11/18 16:01,C,0
1/11/18 18:01,C,0
1/11/18 20:01,C,0
1/11/18 22:01,C,0
1/12/18 0:01,C,0
1/12/18 2:01,C,0
1/12/18 4:01,C,0
1/12/18 6:01,C,0
1/12/18 8:01,C,0
1/12/18 10:01,C,0
1/12/18 12:01,C,0
1/12/18 14:01,C,0
1/12/18 16:01,C,0
1/12/18 18:01,C,0
1/12/18 20:01,C,0
1/12/18 22:01,C,0
1/13/18 0:01,C,0
1/13/18 2:01,C,0
1/13/18 4:01,C,0
1/13/18 6:01,C,0
1/13/18 8:01,C,0
1/13/18 10:01,C,0
1/13/18 12:01,C,0
1/13/18 14:01,C,0
1/13/18 16:01,C,0
1/13/18 18:01,C,0
1/13/18 20:01,C,0
1/13/18 22:01,C,0
1/14/18 0:01,C,0
1/14/18 2:01,C,0
1/14/18 4:01,C,0
1/14/18 6:01,C,0
1/14/18 8:01,C,0
1/14/18 10:01,C,0
1/14/18 12:01,C,0
1/14/18 14:01,C,0
1/14/18 16:01,C,0
