"Plot Title: sparcnet_air_plot_3"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20153865, SEN S/N: 20153865, LBL: Temp)","Intensity, Lux (LGR S/N: 20153865, SEN S/N: 20153865, LBL: Light)","Coupler Attached (LGR S/N: 20153865)","Host Connected (LGR S/N: 20153865)","Coupler Detached (LGR S/N: 20153865)","Stopped (LGR S/N: 20153865)","End Of File (LGR S/N: 20153865)"
196,08/13/19 08:00:00 AM,17.950,355.2,,,,,
197,08/13/19 12:00:00 PM,19.853,882.6,,,,,
198,08/13/19 04:00:00 PM,21.282,1205.6,,,,,
199,08/13/19 08:00:00 PM,21.187,32.3,,,,,
200,08/14/19 12:00:00 AM,20.329,0.0,,,,,
201,08/14/19 04:00:00 AM,19.948,0.0,,,,,
202,08/14/19 08:00:00 AM,19.282,193.8,,,,,
203,08/14/19 12:00:00 PM,20.043,1808.3,,,,,
204,08/14/19 04:00:00 PM,21.855,1980.6,,,,,
205,08/14/19 08:00:00 PM,20.329,43.1,,,,,
206,08/15/19 12:00:00 AM,17.475,0.0,,,,,
207,08/15/19 04:00:00 AM,15.569,0.0,,,,,
208,08/15/19 08:00:00 AM,14.900,366.0,,,,,
209,08/15/19 12:00:00 PM,22.046,3100.0,,,,,
210,08/15/19 04:00:00 PM,24.351,1550.0,,,,,
211,08/15/19 08:00:00 PM,19.377,53.8,,,,,
212,08/16/19 12:00:00 AM,18.045,0.0,,,,,
213,08/16/19 04:00:00 AM,18.426,0.0,,,,,
214,08/16/19 08:00:00 AM,17.284,376.7,,,,,
215,08/16/19 12:00:00 PM,20.901,1302.4,,,,,
216,08/16/19 04:00:00 PM,23.581,3272.2,,,,,
217,08/16/19 08:00:00 PM,20.615,86.1,,,,,
218,08/17/19 12:00:00 AM,16.808,0.0,,,,,
219,08/17/19 04:00:00 AM,15.282,0.0,,,,,
220,08/17/19 08:00:00 AM,14.709,387.5,,,,,
221,08/17/19 12:00:00 PM,22.621,3272.2,,,,,
222,08/17/19 04:00:00 PM,25.513,3444.5,,,,,
223,08/17/19 08:00:00 PM,21.473,32.3,,,,,
224,08/18/19 12:00:00 AM,18.806,0.0,,,,,
225,08/18/19 04:00:00 AM,17.189,0.0,,,,,
226,08/18/19 08:00:00 AM,16.618,376.7,,,,,
227,08/18/19 12:00:00 PM,23.869,1808.3,,,,,
228,08/18/19 04:00:00 PM,25.416,1011.8,,,,,
229,08/18/19 08:00:00 PM,22.429,118.4,,,,,
230,08/19/19 12:00:00 AM,18.521,0.0,,,,,
231,08/19/19 04:00:00 AM,17.094,0.0,,,,,
232,08/19/19 08:00:00 AM,18.236,161.5,,,,,
