"Plot Title: 2B"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20153868, SEN S/N: 20153868, LBL: Temp)","Intensity, Lux (LGR S/N: 20153868, SEN S/N: 20153868, LBL: Light)","Coupler Attached (LGR S/N: 20153868)","Host Connected (LGR S/N: 20153868)","Coupler Detached (LGR S/N: 20153868)","Stopped (LGR S/N: 20153868)","End Of File (LGR S/N: 20153868)"
170,08/09/19 12:00:00 AM,17.475,0.0,,,,,
171,08/09/19 04:00:00 AM,16.808,0.0,,,,,
172,08/09/19 08:00:00 AM,17.570,549.0,,,,,
173,08/09/19 12:00:00 PM,20.043,936.5,,,,,
174,08/09/19 04:00:00 PM,22.238,5338.9,,,,,
175,08/09/19 08:00:00 PM,18.901,96.9,,,,,
176,08/10/19 12:00:00 AM,13.365,0.0,,,,,
177,08/10/19 04:00:00 AM,11.139,0.0,,,,,
178,08/10/19 08:00:00 AM,11.334,785.8,,,,,
179,08/10/19 12:00:00 PM,17.094,2927.8,,,,,
180,08/10/19 04:00:00 PM,20.519,4822.3,,,,,
181,08/10/19 08:00:00 PM,17.950,75.3,,,,,
182,08/11/19 12:00:00 AM,13.654,0.0,,,,,
183,08/11/19 04:00:00 AM,10.846,0.0,,,,,
184,08/11/19 08:00:00 AM,9.768,613.5,,,,,
185,08/11/19 12:00:00 PM,18.236,5511.1,,,,,
186,08/11/19 04:00:00 PM,21.664,4994.5,,,,,
187,08/11/19 08:00:00 PM,18.236,21.5,,,,,
188,08/12/19 12:00:00 AM,13.558,0.0,,,,,
189,08/12/19 04:00:00 AM,11.139,0.0,,,,,
190,08/12/19 08:00:00 AM,11.041,581.3,,,,,
191,08/12/19 12:00:00 PM,21.282,5166.7,,,,,
192,08/12/19 04:00:00 PM,25.028,3788.9,,,,,
193,08/12/19 08:00:00 PM,20.615,107.6,,,,,
194,08/13/19 12:00:00 AM,18.140,0.0,,,,,
195,08/13/19 04:00:00 AM,17.570,0.0,,,,,
196,08/13/19 08:00:00 AM,17.665,452.1,,,,,
197,08/13/19 12:00:00 PM,19.758,1184.0,,,,,
198,08/13/19 04:00:00 PM,21.282,1280.9,,,,,
199,08/13/19 08:00:00 PM,21.091,32.3,,,,,
200,08/14/19 12:00:00 AM,20.234,0.0,,,,,
201,08/14/19 04:00:00 AM,19.853,0.0,,,,,
202,08/14/19 08:00:00 AM,19.187,247.6,,,,,
203,08/14/19 12:00:00 PM,20.043,2152.8,,,,,
204,08/14/19 04:00:00 PM,21.855,4305.6,,,,,
205,08/14/19 08:00:00 PM,20.329,43.1,,,,,
206,08/15/19 12:00:00 AM,17.379,0.0,,,,,
207,08/15/19 04:00:00 AM,15.378,0.0,,,,,
208,08/15/19 08:00:00 AM,14.804,527.4,,,,,
209,08/15/19 12:00:00 PM,22.717,5166.7,,,,,
210,08/15/19 04:00:00 PM,24.641,1550.0,,,,,
211,08/15/19 08:00:00 PM,19.472,53.8,,,,,
212,08/16/19 12:00:00 AM,18.045,0.0,,,,,
213,08/16/19 04:00:00 AM,18.236,0.0,,,,,
214,08/16/19 08:00:00 AM,17.189,559.7,,,,,
215,08/16/19 12:00:00 PM,20.996,7233.4,,,,,
216,08/16/19 04:00:00 PM,23.773,3616.7,,,,,
217,08/16/19 08:00:00 PM,20.710,86.1,,,,,
218,08/17/19 12:00:00 AM,16.618,0.0,,,,,
219,08/17/19 04:00:00 AM,14.804,0.0,,,,,
220,08/17/19 08:00:00 AM,14.134,516.7,,,,,
221,08/17/19 12:00:00 PM,23.100,5166.7,,,,,
222,08/17/19 04:00:00 PM,25.513,4822.3,,,,,
223,08/17/19 08:00:00 PM,21.473,21.5,,,,,
224,08/18/19 12:00:00 AM,18.711,0.0,,,,,
225,08/18/19 04:00:00 AM,16.903,0.0,,,,,
226,08/18/19 08:00:00 AM,16.237,538.2,,,,,
227,08/18/19 12:00:00 PM,24.062,6200.0,,,,,
228,08/18/19 04:00:00 PM,25.416,1377.8,,,,,
229,08/18/19 08:00:00 PM,22.333,129.2,,,,,
230,08/19/19 12:00:00 AM,18.331,0.0,,,,,
231,08/19/19 04:00:00 AM,16.808,0.0,,,,,
232,08/19/19 08:00:00 AM,17.950,279.9,,,,,
233,08/19/19 12:00:00 PM,23.484,4994.5,,,,,
234,08/19/19 04:00:00 PM,26.195,4477.8,,,,,
235,08/19/19 08:00:00 PM,22.429,64.6,,,,,
236,08/20/19 12:00:00 AM,18.901,0.0,,,,,
237,08/20/19 04:00:00 AM,16.713,0.0,,,,,
238,08/20/19 08:00:00 AM,16.427,527.4,,,,,
239,08/20/19 12:00:00 PM,23.869,1722.2,,,,,
240,08/20/19 04:00:00 PM,22.717,775.0,,,,,
241,08/20/19 08:00:00 PM,19.948,10.8,,,,,
242,08/21/19 12:00:00 AM,17.855,0.0,,,,,
243,08/21/19 04:00:00 AM,18.236,0.0,,,,,
244,08/21/19 08:00:00 AM,18.711,129.2,,,,,
245,08/21/19 12:00:00 PM,20.901,2497.2,,,,,
246,08/21/19 04:00:00 PM,22.525,2152.8,,,,,
247,08/21/19 08:00:00 PM,21.091,21.5,,,,,
248,08/22/19 12:00:00 AM,19.567,0.0,,,,,
249,08/22/19 04:00:00 AM,18.426,0.0,,,,,
250,08/22/19 08:00:00 AM,18.331,592.0,,,,,
251,08/22/19 12:00:00 PM,21.855,1550.0,,,,,
252,08/22/19 04:00:00 PM,24.448,5166.7,,,,,
253,08/22/19 08:00:00 PM,20.329,0.0,,,,,
254,08/23/19 12:00:00 AM,18.521,0.0,,,,,
255,08/23/19 04:00:00 AM,18.426,0.0,,,,,
256,08/23/19 08:00:00 AM,13.654,150.7,,,,,
257,08/23/19 12:00:00 PM,14.038,1463.9,,,,,
258,08/23/19 04:00:00 PM,15.951,2238.9,,,,,
259,08/23/19 08:00:00 PM,14.709,10.8,,,,,
260,08/24/19 12:00:00 AM,11.722,0.0,,,,,
261,08/24/19 04:00:00 AM,10.161,0.0,,,,,
262,08/24/19 08:00:00 AM,10.259,678.1,,,,,
263,08/24/19 12:00:00 PM,15.378,5511.1,,,,,
264,08/24/19 04:00:00 PM,17.189,2583.4,,,,,
265,08/24/19 08:00:00 PM,14.709,10.8,,,,,
266,08/25/19 12:00:00 AM,12.787,0.0,,,,,
267,08/25/19 04:00:00 AM,9.373,0.0,,,,,
268,08/25/19 08:00:00 AM,8.182,1151.7,,,,,
269,08/25/19 12:00:00 PM,15.569,2497.2,,,,,
270,08/25/19 04:00:00 PM,17.665,4650.0,,,,,
271,08/25/19 08:00:00 PM,14.709,0.0,,,,,
272,08/26/19 12:00:00 AM,11.916,0.0,,,,,
273,08/26/19 04:00:00 AM,12.787,0.0,,,,,
274,08/26/19 08:00:00 AM,13.558,430.6,,,,,
275,08/26/19 12:00:00 PM,16.523,3272.2,,,,,
276,08/26/19 04:00:00 PM,17.475,2325.0,,,,,
277,08/26/19 08:00:00 PM,16.237,0.0,,,,,
278,08/27/19 12:00:00 AM,15.855,0.0,,,,,
279,08/27/19 04:00:00 AM,15.187,0.0,,,,,
280,08/27/19 08:00:00 AM,15.282,161.5,,,,,
281,08/27/19 12:00:00 PM,16.808,990.3,,,,,
282,08/27/19 04:00:00 PM,17.855,592.0,,,,,
283,08/27/19 08:00:00 PM,18.426,0.0,,,,,
284,08/28/19 12:00:00 AM,17.855,0.0,,,,,
285,08/28/19 04:00:00 AM,17.570,0.0,,,,,
286,08/28/19 08:00:00 AM,17.760,75.3,,,,,
287,08/28/19 12:00:00 PM,18.711,2066.7,,,,,
288,08/28/19 04:00:00 PM,20.234,5511.1,,,,,
289,08/28/19 08:00:00 PM,17.094,0.0,,,,,
290,08/29/19 12:00:00 AM,14.804,0.0,,,,,
291,08/29/19 04:00:00 AM,12.980,0.0,,,,,
292,08/29/19 08:00:00 AM,11.041,656.6,,,,,
293,08/29/19 12:00:00 PM,18.140,6544.5,,,,,
294,08/29/19 04:00:00 PM,20.519,5166.7,,,,,
295,08/29/19 08:00:00 PM,16.618,0.0,,,,,
296,08/30/19 12:00:00 AM,12.883,0.0,,,,,
297,08/30/19 04:00:00 AM,13.076,0.0,,,,,
298,08/30/19 08:00:00 AM,13.269,581.3,,,,,
299,08/30/19 12:00:00 PM,21.282,7577.8,,,,,
300,08/30/19 04:00:00 PM,23.100,5338.9,,,,,
301,08/30/19 08:00:00 PM,19.377,0.0,,,,,
302,08/31/19 12:00:00 AM,16.618,0.0,,,,,
303,08/31/19 04:00:00 AM,15.664,0.0,,,,,
304,08/31/19 08:00:00 AM,16.046,645.8,,,,,
305,08/31/19 12:00:00 PM,20.329,4822.3,,,,,
306,08/31/19 04:00:00 PM,22.525,4305.6,,,,,
307,08/31/19 08:00:00 PM,19.092,0.0,,,,,
308,09/01/19 12:00:00 AM,16.237,0.0,,,,,
309,09/01/19 04:00:00 AM,15.091,0.0,,,,,
310,09/01/19 08:00:00 AM,14.709,613.5,,,,,
311,09/01/19 12:00:00 PM,16.427,2152.8,,,,,
312,09/01/19 04:00:00 PM,18.426,1808.3,,,,,
313,09/01/19 08:00:00 PM,17.950,0.0,,,,,
314,09/02/19 12:00:00 AM,18.045,0.0,,,,,
315,09/02/19 04:00:00 AM,17.760,0.0,,,,,
316,09/02/19 08:00:00 AM,16.523,538.2,,,,,
317,09/02/19 12:00:00 PM,19.853,1808.3,,,,,
318,09/02/19 04:00:00 PM,20.901,5166.7,,,,,
319,09/02/19 08:00:00 PM,18.996,0.0,,,,,
320,09/03/19 12:00:00 AM,16.999,0.0,,,,,
321,09/03/19 04:00:00 AM,15.473,0.0,,,,,
322,09/03/19 08:00:00 AM,14.038,527.4,,,,,
323,09/03/19 12:00:00 PM,20.710,3961.1,,,,,
324,09/03/19 04:00:00 PM,23.100,5511.1,,,,,
325,09/03/19 08:00:00 PM,19.377,0.0,,,,,
326,09/04/19 12:00:00 AM,15.664,0.0,,,,,
327,09/04/19 04:00:00 AM,14.038,0.0,,,,,
328,09/04/19 08:00:00 AM,17.284,495.1,,,,,
329,09/04/19 12:00:00 PM,22.142,2152.8,,,,,
330,09/04/19 04:00:00 PM,24.158,5166.7,,,,,
331,09/04/19 08:00:00 PM,19.948,0.0,,,,,
332,09/05/19 12:00:00 AM,16.046,0.0,,,,,
333,09/05/19 04:00:00 AM,12.883,0.0,,,,,
334,09/05/19 08:00:00 AM,11.819,688.9,,,,,
335,09/05/19 12:00:00 PM,18.045,4133.4,,,,,
336,09/05/19 04:00:00 PM,19.567,2755.6,,,,,
337,09/05/19 08:00:00 PM,17.855,0.0,,,,,
338,09/06/19 12:00:00 AM,14.613,0.0,,,,,
339,09/06/19 04:00:00 AM,14.325,0.0,,,,,
340,09/06/19 08:00:00 AM,14.517,409.0,,,,,
