"Plot Title: 6B"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20153867, SEN S/N: 20153867, LBL: Temp)","Intensity, Lux (LGR S/N: 20153867, SEN S/N: 20153867, LBL: Light)","Coupler Attached (LGR S/N: 20153867)","Host Connected (LGR S/N: 20153867)","Stopped (LGR S/N: 20153867)","End Of File (LGR S/N: 20153867)"
158,08/07/19 12:00:00 AM,18.140,0.0,,,,
159,08/07/19 04:00:00 AM,16.999,0.0,,,,
160,08/07/19 08:00:00 AM,17.284,193.8,,,,
161,08/07/19 12:00:00 PM,18.140,1636.1,,,,
162,08/07/19 04:00:00 PM,20.043,3444.5,,,,
163,08/07/19 08:00:00 PM,19.092,32.3,,,,
164,08/08/19 12:00:00 AM,16.523,0.0,,,,
165,08/08/19 04:00:00 AM,15.473,0.0,,,,
166,08/08/19 08:00:00 AM,16.808,516.7,,,,
167,08/08/19 12:00:00 PM,21.569,4994.5,,,,
168,08/08/19 04:00:00 PM,18.426,1980.6,,,,
169,08/08/19 08:00:00 PM,18.140,86.1,,,,
170,08/09/19 12:00:00 AM,17.475,0.0,,,,
171,08/09/19 04:00:00 AM,16.808,0.0,,,,
172,08/09/19 08:00:00 AM,17.475,366.0,,,,
173,08/09/19 12:00:00 PM,20.043,753.5,,,,
174,08/09/19 04:00:00 PM,22.142,1377.8,,,,
175,08/09/19 08:00:00 PM,18.806,96.9,,,,
176,08/10/19 12:00:00 AM,13.269,0.0,,,,
177,08/10/19 04:00:00 AM,11.334,0.0,,,,
178,08/10/19 08:00:00 AM,11.819,581.3,,,,
179,08/10/19 12:00:00 PM,17.189,2927.8,,,,
180,08/10/19 04:00:00 PM,20.615,4305.6,,,,
181,08/10/19 08:00:00 PM,17.665,75.3,,,,
182,08/11/19 12:00:00 AM,13.846,0.0,,,,
183,08/11/19 04:00:00 AM,11.041,0.0,,,,
184,08/11/19 08:00:00 AM,10.161,484.4,,,,
185,08/11/19 12:00:00 PM,18.521,4994.5,,,,
186,08/11/19 04:00:00 PM,21.282,3788.9,,,,
187,08/11/19 08:00:00 PM,18.045,21.5,,,,
188,08/12/19 12:00:00 AM,13.461,0.0,,,,
189,08/12/19 04:00:00 AM,11.528,0.0,,,,
190,08/12/19 08:00:00 AM,11.236,452.1,,,,
191,08/12/19 12:00:00 PM,21.855,4822.3,,,,
192,08/12/19 04:00:00 PM,24.545,2927.8,,,,
193,08/12/19 08:00:00 PM,20.519,86.1,,,,
194,08/13/19 12:00:00 AM,18.236,0.0,,,,
195,08/13/19 04:00:00 AM,17.760,0.0,,,,
196,08/13/19 08:00:00 AM,17.855,366.0,,,,
197,08/13/19 12:00:00 PM,19.758,925.7,,,,
198,08/13/19 04:00:00 PM,21.187,1184.0,,,,
199,08/13/19 08:00:00 PM,21.091,32.3,,,,
